#FamilyID	Clec<0>	Aluc<1>	<2>	Rpro<3>	Hhal<4>	Achi<5>	<6>	<7>	<8>	Nlug<9>	Btab<10>	Apis<11>	<12>	<13>	Dmel<14>	<15>	<16>	Bmor<17>	<18>	
OG0000035	0.220583	0.220583	0.199392	0.376985	0.00321149	5.45965e-09	0.769221	0.348839	0.595669	0.122662	0.306262	0.227128	0.776888	0.800848	0.700184	0.442979	0.62868	0.819289	N/A
OG0000037	0.00980204	0.264905	0.000230172	0.0348535	0.00048864	0.665747	0.261492	0.174447	4.25167e-05	2.52648e-30	9.19466e-09	3.64871e-09	0.757029	0.782026	7.33087e-06	0.131546	0.604104	0.542153	N/A
OG0000038	0.125436	0.0398326	0.752361	0.376985	0.000256497	0.639031	0.769221	6.04437e-06	0.00449449	0.000461511	7.82264e-05	0.0185003	0.719201	0.744863	0.620315	0.328762	0.586197	0.284568	N/A
OG0000040	1.16742e-05	0.251176	0.634783	0.161819	4.85671e-07	0.00322466	0.261492	0.537696	0.000504114	2.48572e-30	1.55359e-06	1.99323e-08	0.745618	0.770996	8.23217e-05	0.0443963	0.586197	0.767843	N/A
OG0000041	2.23783e-06	5.24435e-16	0.65465	1.04336e-05	5.4524e-05	0.13067	0.669784	0.537696	0.00258913	6.81601e-07	0.000293128	4.84511e-23	0.733057	0.206648	0.000278072	0.0337107	0.576749	0.916544	N/A
OG0000042	1.16742e-05	0.00303669	0.634783	4.03579e-05	1.78678e-06	0.00521533	0.261492	0.828662	0.000504114	1.2777e-22	0.00295123	8.78598e-12	0.745618	0.223932	0.000278072	0.0057302	0.576749	0.251612	N/A
OG0000044	1.16742e-05	0.0207094	0.634783	4.03579e-05	1.80802e-07	4.32193e-10	0.0145834	0.843958	0.00357245	2.84281e-08	0.00412699	1.89127e-21	0.745618	0.096731	0.000946535	0.000544167	0.566953	0.0605023	N/A
OG0000045	0.264905	0.675805	0.00362104	0.796542	2.04975e-10	5.45467e-33	0.00101614	0.0115227	0.474353	0.0247108	0.0668696	7.86596e-19	0.703886	0.0605407	0.0032575	0.01578	0.556794	0.173828	N/A
OG0000046	0.5	0.5	0.000683965	0.707241	2.81023e-14	2.48669e-66	2.6243e-05	1.3911e-05	0.757968	4.58823e-10	0.00643352	0.00102683	0.0915741	0.669615	0.0411653	0.046281	0.535326	0.25331	N/A
OG0000047	0.00781117	0.384042	0.704151	0.874648	4.56392e-11	0.00289362	0.370241	0.028999	0.820102	0.0266643	0.0178337	0.000139686	0.733057	0.00012239	0.000946535	0.00361938	0.566953	0.214736	N/A
